Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,"Stat Type"
"Gardner Minshew",WSU,58,199,80,119,2.05,12,4,Rushing
"Laviska Shenault Jr.",COL,17,118,3,115,6.76,49t,5,Rushing
"Dorian Maddox",STAN,23,106,3,103,4.48,16,1,Rushing
"Darrius Smith",ARIZ,23,107,9,98,4.26,14,1,Rushing
"Anthony Mariscal",ARIZ,17,88,3,85,5.00,33t,1,Rushing
"Bolu Olorunfunmi",UCLA,31,89,4,85,2.74,8,4,Rushing
"Marcel Dancy",CAL,14,85,4,81,5.79,18,1,Rushing
"B.J. Baylor",ORST,24,92,12,80,3.33,23,1,Rushing
"Dorian Thompson-Robinson",UCLA,50,218,150,68,1.36,23,0,Rushing
"Trelon Smith",AZST,11,56,0,56,5.09,19,0,Rushing
"Andre Baccellia",WASH,2,50,0,50,25.00,37,0,Rushing
"Darrian Felix",ORE,14,50,3,47,3.36,13,0,Rushing
"Kase Rogers",ORST,25,53,6,47,1.88,6,1,Rushing
"Keith Harrington",WSU,14,45,0,45,3.21,9,0,Rushing
"Alex Fontenot",COL,11,45,2,43,3.91,15t,1,Rushing
"Devin Brumfield",UTAH,14,53,11,42,3.00,13,0,Rushing
"Shun Brown",ARIZ,2,40,0,40,20.00,27,0,Rushing
"Mitch Wishnowsky",UTAH,2,39,0,39,19.50,28,0,Rushing
"Cyrus Habibi-Likio",ORE,18,51,15,36,2.00,9,7,Rushing
"Markese Stepp",USC,7,33,0,33,4.71,9,0,Rushing
"Taj Griffin",ORE,6,31,0,31,5.17,9,0,Rushing
"Braxton Burmeister",ORE,7,35,6,29,4.14,11,0,Rushing
"Demetric Felton",UCLA,5,30,3,27,5.40,14,0,Rushing
"Wilton Speight",UCLA,39,123,96,27,0.69,14,2,Rushing
"Theo Howard",UCLA,3,29,3,26,8.67,26,0,Rushing
"Matt Fink",USC,7,27,3,24,3.43,8,0,Rushing
"Michael Alfieri",ORST,4,22,0,22,5.50,7,0,Rushing
"Jaylon Redd",ORE,3,24,2,22,7.33,16,1,Rushing
"Dillon Sterling-Cole",AZST,2,22,0,22,11.00,22,0,Rushing
"Branden Leon",ARIZ,4,21,0,21,5.25,15,1,Rushing
"Jack Colletto",ORST,30,97,77,20,0.67,14,5,Rushing
"Cole Kinder",UCLA,6,19,0,19,3.17,8,0,Rushing
"Stanley Berryhill III",ARIZ,1,17,0,17,17.00,17,0,Rushing
"Vic Wharton",CAL,2,15,0,15,7.50,8,0,Rushing
"Justus Woods",STAN,4,15,0,15,3.75,5,0,Rushing
"Velus Jones Jr.",USC,6,18,5,13,2.17,8t,1,Rushing
"A.J. Carter",AZST,4,13,1,12,3.00,8,0,Rushing
"Jeremiah Hawkins",CAL,9,25,13,12,1.33,8,0,Rushing
"Soso Jamabo",UCLA,5,12,0,12,2.40,5,0,Rushing
"Paul Lucas",AZST,1,12,0,12,12.00,12,0,Rushing
"Cameron McFarlane",STAN,1,11,0,11,11.00,11,0,Rushing
"N'Keal Harry",AZST,7,15,5,10,1.43,6t,1,Rushing
"Jack Sears",USC,10,36,26,10,1.00,22,0,Rushing
"Biaggio Ali Walsh",CAL,4,10,1,9,2.25,5,0,Rushing
"Donovan Lee",COL,2,9,0,9,4.50,5,0,Rushing
"Michael Pittman Jr.",USC,1,9,0,9,9.00,9,0,Rushing
"Amon-Ra St. Brown",USC,2,12,3,9,4.50,12,0,Rushing
"Christian Wallace",ORST,2,9,0,9,4.50,6,0,Rushing
"Jake Glatting",ARIZ,1,8,0,8,8.00,8,0,Rushing
"Erik Krommenhoek",USC,1,8,0,8,8.00,8,0,Rushing
"Alex Netherda",CAL,1,8,0,8,8.00,8,0,Rushing
"Chase Sanders",COL,4,9,1,8,2.00,4,0,Rushing
"Kyle Williams",AZST,1,8,0,8,8.00,8,0,Rushing
"Michael Wilson",STAN,2,9,1,8,4.00,9,0,Rushing
"Malik Braxton",WASH,2,7,0,7,3.50,4,0,Rushing
"Chico McClatcher",WASH,4,11,4,7,1.75,8,0,Rushing
"Derrick Clark",CAL,2,6,0,6,3.00,5,0,Rushing
