Player,Team,Rec,Yds,Avg,Lg,TD,"Stat Type"
"Van Edwards Jr.",AKR,13,105,8.08,15,1,Receiving
"Kyle Schrank",BALL,13,124,9.54,42t,2,Receiving
"Nate Becker",MIOH,13,154,11.85,24,1,Receiving
"Dominique Robinson",MIOH,13,156,12.00,26,4,Receiving
"Mykel Traylor-Bennett",AKR,12,128,10.67,34,1,Receiving
"Jalen Walker",MIOH,12,140,11.67,33,0,Receiving
"Antonio Nunn",BUFF,12,146,12.17,51,1,Receiving
"James Gardner",MIOH,12,157,13.08,24,0,Receiving
"Ty Harmston",NIU,11,97,8.82,22,1,Receiving
"Isaac Holder",EMU,11,140,12.73,41t,1,Receiving
"Gunnar Oakes",EMU,11,143,13.00,42,1,Receiving
"Jaylen Hall",WMU,11,170,15.45,55,1,Receiving
"Isiah Cox",OHIO,11,309,28.09,70,3,Receiving
"Dorian Hendrix",BGSU,10,68,6.80,24,3,Receiving
"Alonzo Smith",MIOH,10,69,6.90,14,0,Receiving
"Chase Brown",WMU,10,75,7.50,22,0,Receiving
"Zac Lefebvre",BUFF,10,84,8.40,25,0,Receiving
"Bernhard Raimann",CMU,10,88,8.80,19,0,Receiving
"Raekwon James",KENT,10,94,9.40,23,0,Receiving
"Ra'veion Hargrove",BGSU,10,113,11.30,27,1,Receiving
"Drew Rosi",TOL,10,120,12.00,20,0,Receiving
"Breck Turner",EMU,9,72,8.00,29,0,Receiving
"Jo-El Shaw",KENT,9,84,9.33,24t,2,Receiving
"Jeremiah Knight",AKR,9,129,14.33,50,0,Receiving
"Kumehnnu Gwilly",CMU,8,39,4.88,13,0,Receiving
"Jonathan Ward",CMU,8,41,5.12,23,0,Receiving
"Shaq Vann",EMU,8,48,6.00,11,0,Receiving
"Drayton Law",CMU,8,82,10.25,28,0,Receiving
"Connor Brown",OHIO,8,84,10.50,31,1,Receiving
"Adam Dulka",KENT,8,86,10.75,15,1,Receiving
"Justin Sawmiller",BGSU,8,88,11.00,40t,1,Receiving
"Tre Harbison",NIU,7,33,4.71,10,0,Receiving
