Player,Team,Rec,Yds,Avg,Lg,TD,"Stat Type"
"Grant Calcaterra",OKLA,26,396,15.23,35t,6,Receiving
"Tre Watson",TEX,22,143,6.50,32t,3,Receiving
"Ta'Zhawn Henry",TTU,22,145,6.59,17,1,Receiving
"David Montgomery",IAST,22,157,7.14,53,0,Receiving
"Jarrison Stewart",TCU,22,186,8.45,31,0,Receiving
"Chuba Hubbard",OKST,22,229,10.41,54t,2,Receiving
"Marques Jones",BAY,21,242,11.52,52t,2,Receiving
"Lee Morris",OKLA,21,457,21.76,65t,8,Receiving
"Alex Barnes",KSST,20,194,9.70,30,0,Receiving
"Tyquan Thornton",BAY,20,354,17.70,41t,3,Receiving
"Carson Meier",OKLA,19,327,17.21,39,4,Receiving
"Zach Reuter",KSST,18,239,13.28,37,0,Receiving
"Zach Austin",TTU,17,143,8.41,20,1,Receiving
"Jaelan Austin",TCU,17,149,8.76,17,0,Receiving
"Kennedy McKoy",WVU,17,224,13.18,41,1,Receiving
"Jovani Haskins",WVU,16,148,9.25,17,1,Receiving
"Sewo Olonilua",TCU,15,86,5.73,25,0,Receiving
"Jalen McCleskey",OKST,15,155,10.33,29t,2,Receiving
"Josh Fleeks",BAY,14,126,9.00,34t,1,Receiving
"Tevin Bush",WVU,14,209,14.93,62t,1,Receiving
"Justice Hill",OKST,13,68,5.23,22,0,Receiving
"Jerrod Heard",TEX,13,115,8.85,22,0,Receiving
"Kwamie Lassiter II",KAN,12,87,7.25,20t,1,Receiving
"Daylon Charlot",KAN,12,178,14.83,44,2,Receiving
"Trey Sermon",OKLA,12,181,15.08,51,0,Receiving
"Charlie Kolar",IAST,11,137,12.45,29,3,Receiving
"Kennedy Brooks",OKLA,10,57,5.70,11,0,Receiving
"De'Quan Bowman",TTU,10,90,9.00,17,1,Receiving
"Malik Knowles",KSST,10,100,10.00,21t,2,Receiving
"Myles Tease",OKLA,10,104,10.40,20,1,Receiving
"Dominique Maiden",WVU,10,136,13.60,40t,1,Receiving
"Landen Akers",IAST,10,181,18.10,55,0,Receiving
"Khalil Herbert",KAN,9,39,4.33,14,0,Receiving
"Sheldon Croney Jr.",IAST,9,71,7.89,25,0,Receiving
"Pooh Stricklin",BAY,9,123,13.67,25,1,Receiving
"Tre King",TTU,8,48,6.00,13,0,Receiving
"Blaise Gammon",KSST,8,69,8.62,15,0,Receiving
"Chase Allen",IAST,8,84,10.50,28,0,Receiving
"Derius Davis",TCU,8,104,13.00,27,2,Receiving
"Charleston Rambo",OKLA,8,125,15.62,49t,1,Receiving
"Darius Anderson",TCU,7,19,2.71,6,0,Receiving
"Isaiah Harris",KSST,7,37,5.29,11,0,Receiving
"Ni'Jeel Meeking",TCU,7,39,5.57,10,0,Receiving
"Joshua Moore",TEX,7,53,7.57,27t,1,Receiving
"Wykeen Gill",KSST,7,54,7.71,15,0,Receiving
"Christoph Henle",BAY,7,58,8.29,13,0,Receiving
"A.D. Miller",OKLA,7,75,10.71,17,2,Receiving
"Dalvin Warmack",KSST,7,86,12.29,28t,1,Receiving
"Jelani Woods",OKST,7,120,17.14,32,2,Receiving
"Nick Basquine",OKLA,7,134,19.14,35,0,Receiving
"Martell Pettaway",WVU,6,61,10.17,34,1,Receiving
"Al'Dontre Davis",TCU,6,63,10.50,18,0,Receiving
"J.D. King",OKST,6,92,15.33,25t,2,Receiving
"Emari Demercado",TCU,5,8,1.60,7,0,Receiving
"Takulve Williams",KAN,5,39,7.80,15,0,Receiving
"Sam Seonbuchner",IAST,5,45,9.00,18,1,Receiving
"John Lovett",BAY,5,48,9.60,18,0,Receiving
"Sam Ehlinger",TEX,5,51,10.20,21,0,Receiving
"Quan Hampton",KAN,5,59,11.80,24,0,Receiving
