Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,"Stat Type"
"Avante' Cox",WYO,3,37,0,37,12.33,23t,1,Rushing
"Evan Austrie",UNLV,1,36,0,36,36.00,36,0,Rushing
"Tre Miller",USU,7,33,0,33,4.71,8,1,Rushing
"Anthony Hawkins",CSU,3,32,0,32,10.67,25,0,Rushing
"Deven Thompkins",USU,2,30,0,30,15.00,27,0,Rushing
"Andrew Smith",AF,5,30,1,29,5.80,14,0,Rushing
"Bailey Gaither",SJSU,3,28,0,28,9.33,21,0,Rushing
"Jamaal Neal",UNLV,5,27,0,27,5.40,11,0,Rushing
"Russell Booze",NEV,2,25,0,25,12.50,22,0,Rushing
"McLane Mannix",NEV,3,26,1,25,8.33,16,0,Rushing
"Micah Gray",UNM,7,23,0,23,3.29,8,0,Rushing
"Parker Wilson",AF,5,22,0,22,4.40,8,0,Rushing
"Chance LaChapelle",SJSU,8,24,3,21,2.62,7,0,Rushing
"Coltin Gerhart",UNM,35,100,80,20,0.57,12,1,Rushing
"Emmanuel Harris",UNM,3,17,0,17,5.67,10,0,Rushing
"Garrett Amy",AF,4,14,0,14,3.50,5,0,Rushing
"BJ Busbee",SDSU,5,17,3,14,2.80,8,0,Rushing
